time_point,real_infected,dd_infected,dd_scaled_infected,ff_infected,ff_scaled_infected,dd_error,dd_scaled_error,ff_error,ff_scaled_error,dd_error_sq,dd_scaled_error_sq,ff_error_sq,ff_scaled_error_sq
38,110.75,49.3326566631746,60.0600791336447,69.7537736657556,103.648226067265,61.4173433368254,50.6899208663553,40.9962263342444,7.101773932735,3772.090062553491,2569.4680774373624,1680.6905736485937,50.43519299167435
38.5,74.37,49.1672637323453,58.9500478503655,69.697905988101,103.142958825932,25.202736267654707,15.419952149634504,4.672094011899006,-28.772958825931994,635.1779153769579,237.77492429701778,21.828462456022546,827.8831595987779
39,109.82,48.9614138687556,57.8558605498089,69.5916396688154,102.597113735864,60.858586131244394,51.96413945019109,40.22836033118459,7.222886264135994,3703.7675058940927,2700.271788798906,1618.3209749356258,52.170085984644416
39.5,102.58,48.7178309905665,56.7777513337205,69.4388265781604,102.014713195596,53.8621690094335,45.802248666279496,33.141173421839596,0.5652868044039963,2901.1332504007787,2097.8459828877017,1098.3373757764473,0.3195491712332819
40,81.62,48.4391827594847,55.7158946825805,69.2431798616869,101.399507277048,33.1808172405153,25.904105317419507,12.376820138313107,-19.779507277047998,1100.9666327484777,671.0226722959616,153.18567673615289,391.2289081227947
40.5,94.58,48.1280735936527,54.6704142519101,69.0082524577801,100.754984549778,46.4519264063473,39.909585748089896,25.571747542219896,-6.174984549778003,2157.781466860705,1592.77503458414,653.9142723630293,38.13043418999705
41,57.19,47.7870293954041,53.6413876571099,68.7374286649024,100.084378326788,9.4029706045959,3.5486123428900953,-11.547428664902398,-42.894378326788,88.41585619089459,12.592649560111932,133.34310877100958,1839.9276920416203
41.5,82.69,47.4184841694147,52.6288519127392,68.4339133757047,99.3906805321027,35.2715158305853,30.061148087260797,14.256086624295293,-16.70068053210271,1244.0798289872296,903.6726243242234,203.23600583941115,278.9127302353544
42,110.42,47.0247755422071,51.6328094530519,68.1007302327636,98.6766502717234,63.3952244577929,58.7871905469481,42.319269767236406,11.743349728276598,4018.954484053943,3455.9337724031843,1790.9205936321293,137.90626284061406
42.5,105.76,46.6081412731346,50.6532310341842,67.7407185688544,97.9448292585701,59.151858726865406,55.1067689658158,38.0192814311456,7.81517074142991,3498.942390843043,3036.7559858518,1445.4657605406526,61.07689371770212
43,94.12,46.1707137070401,49.6900600932286,67.3565363172338,97.1975512615403,47.949286292959904,44.4299399067714,26.7634636827662,-3.077551261540293,2299.1340560042327,1974.019560119318,716.2829882987454,9.47132176740825
43.5,80.62,45.7145181382654,48.7432166805253,66.9506620223496,96.436957877893,34.90548186173461,31.876783319474704,13.6693379776504,-15.816957877892989,1218.3926639998836,1016.1293147967407,186.85080074723552,250.17615651104109
44,104.38,45.241472840742,47.8125994575545,66.5254010762307,95.6650080461922,59.138527159258,56.5674005424455,37.8545989237693,8.714991953807797,3497.365394566296,3199.870804129463,1432.970659679436,75.95108475493464
44.5,74.58,44.7533896698257,46.8980888839215,66.082890641958,94.8834932291991,29.826610330174297,27.681911116078496,8.497109358041996,-20.303493229199105,889.6266837880601,766.2882030384702,72.20086744252487,412.23183730813395
45,85.63,44.2519744645175,45.9995499754199,65.6251080625629,94.0940466118836,41.37802553548249,39.63045002458009,20.004891937437094,-8.464046611883603,1712.1409972150414,1570.5725691507403,400.19570142853564,71.6400850481383
45.5,99.08,43.7388316828139,45.1168336553191,65.153877165943,93.2981569939932,55.341168317186096,53.9631663446809,33.926122834057,5.781843006006795,3062.644910711122,2912.0233219437014,1150.9818105515235,33.429708546109694
46,84.26,43.2154652962264,44.2497789137775,64.6708778778237,92.4971776017005,41.04453470377361,40.01022108622251,19.589122122176306,-8.237177601700495,1684.653829049276,1600.8177913684042,383.73370551753715,67.85109484195631
46.5,93.97,42.6832823283489,43.3982149642772,64.1776529340795,91.6923381968408,51.2867176716511,50.5717850357228,29.792347065920495,2.277661803159205,2630.3274095316488,2557.505441699356,887.5839436962615,5.187743289570442
47,96.81,42.1435949150385,42.5619620963791,63.6756179128212,90.884753541157,54.666405084961504,54.248037903620904,33.1343820871788,5.925246458843006,2988.415844913105,2942.84961639269,1097.8872762991552,35.10854559803158
47.5,104.82,41.5976285850803,41.7408330529591,63.1660678012474,90.0754335183102,63.22237141491969,63.079166947040896,41.65393219875259,14.744566481689787,3997.0682473260545,3978.981302732657,1735.050067618278,217.40224073296994
48,25.93,41.0465234243306,40.9346347405897,62.650186835345004,89.2652912219096,-15.116523424330602,-15.004634740589701,-36.720186835345004,-63.33529122190961,228.5092804383358,225.13906369851136,1348.3721212226446,4011.3591141641
48.5,119.4,40.4913374008065,40.1431688438195,62.1290546637106,88.4551511748299,78.9086625991935,79.25683115618051,57.27094533628941,30.944848825170112,6226.57703319336,6281.645284919306,3279.9611797122493,957.583668812632
49,106.5,39.9330500753693,39.3662326924851,61.6036555452161,87.6457569252974,66.5669499246307,67.1337673075149,44.8963444547839,18.854243074702595,4431.158822268292,4506.942712899557,2015.681745402605,355.4824819199707
49.5,79.42,39.3725695228032,38.6036203395172,61.074884036504,86.8377776249563,40.047430477196805,40.8163796604828,18.345115963496,-7.417777624956301,1603.7966878259115,1665.976848588674,336.5432797141157,55.02342489330234
50,132.42,38.8107361505704,37.8551233813613,60.5435532351118,86.0318149866964,93.6092638494296,94.56487661863869,71.87644676488819,46.388185013303584,8762.694278432127,8942.5158898983591,5166.223599545805,2151.863708828483
50.5,73.13,38.2483239639651,37.1205312982061,60.0104000380321,85.2284085485639,34.8816760360349,36.00946870179389,13.119599961967893,-12.09840854856391,1216.731323082891,1296.681836185474,172.12390316206793,146.3714894079643
51,66.5,37.6860453012484,36.3996321256517,59.4760922313651,84.4280418706307,28.8139546987516,30.1003678743483,7.023907768634899,-17.928041870630693,830.2439853817095,906.0321461710993,49.335280342289686,321.4146853150873
51.5,69.64,37.1245549146986,35.6922132099427,58.9412333958785,83.6311467969265,32.5154450853014,33.9477867900573,10.698766604121502,-13.9911467969265,1057.254169095251,1152.452227943189,114.46360684946553,195.75218869314668
52,24.71,36.5644557600942,34.9980615170434,58.4063687917632,82.838108825877,-11.854455760094197,-10.288061517043403,-33.6963687917632,-58.128108825877,140.5281213680305,105.8442097784694,1135.4452697505128,3378.8770356729997
52.5,85.33,36.0062994744661,34.3169639369648,57.8719899336388,82.0492706249188,49.3237005255339,51.0130360630352,27.458010066361197,3.2807293750811937,2432.827433532553,2602.32984836853,753.9423168043928,10.76318523252064
53,73.69,35.4505901099954,33.648707719573,57.3385393585038,81.2649365678813,38.239409890004595,40.041292280427,16.351460641496196,-7.574936567881309,1462.2524687357811,1603.305087486583,267.3702651103992,57.37966400742547
53.5,45.58,34.8977865999779,32.9930809509984,56.8064148423285,80.4853757006372,10.6822134000221,12.586919049001601,-11.226414842328502,-34.90537570063721,114.10968312361172,158.43053114611936,126.03239021205368,1218.3852528026346
54,35.66,34.348308630345,32.349872694137,56.2759732135506,79.7108254797876,1.3116913696549943,3.3101273058629985,-20.615973213550603,-44.050825479787605,1.720534249227395,10.956942781019833,425.018351541836,1940.4752254507048
54.5,56.17,33.8025377976495,31.7188731765427,55.7475341688654,78.9414943305052,22.367462202350502,24.4511268234573,0.4224658311346019,-22.771494330505192,500.3033653735784,597.8576029367931,0.17847737847624998,518.5409540442301
55,63.52,33.2608190518727,31.0998741053148,55.2213833134717,78.1775646655101,30.2591809481273,32.4201258946852,8.298616686528305,-14.657564665510101,915.6180316515103,1051.064563027238,68.86703890992602,214.84420192361023
55.5,44,32.7234636750647,30.4926689151343,54.6977755451914,77.4191951103345,11.2765363249353,13.507331084865701,-10.697775545191398,-33.4191951103345,127.16027148758532,182.44799303617924,114.44240161529511,1116.8426018226053
56,90.03,32.1907523268397,29.897052882921,54.176937487123,76.6665229191478,57.8392476731603,60.132947117079,35.853062512877,13.363477080852206,3345.3785713971793,3615.9713289854194,1285.4420915522662,178.5825196904622
56.5,61.73,31.662938258177,29.3128231719951,53.6590704331483,75.919665901323,30.067061741822997,32.4171768280049,8.070929566851696,-14.189665901323004,904.0282017865961,1050.8733534981377,65.1399040730809,201.34661839116876
57,38.71,31.1402474339203,28.739779093774,53.1443523076928,75.1787243547725,7.5697525660797,9.970220906226,-14.434352307692798,-36.4687243547725,57.3011539116702,99.405304918946,208.3505265425964,1329.9678560643767
57.5,42.52,30.6228808979902,28.1777222078577,52.6329401904715,74.4437827138402,11.897119102009803,14.342277792142305,-10.112940190471498,-31.923782713840204,141.54144292740654,205.70093226697836,102.2715592960537,1019.1279027604826
58,43.91,30.1110159825756,27.62645641412,52.1249719051259,73.7149111075284,13.798984017424395,16.283543585879997,-8.214971905125907,-29.804911107528397,190.4119599131339,265.1537917132536,67.48576340200798,888.3327261276696
58.5,61.63,29.6048098718536,27.0857879591553,51.6205681597295,72.9921667462027,32.025190128146406,34.5442120408447,10.009431840270501,-11.362166746202696,1025.612802743926,1193.3025855228398,100.18872576502092,129.09883316851437
59,83.02,29.1044006201933,26.5555255071877,51.1198338385289,72.2755951943483,53.91559937980669,56.4644744928123,31.9001661614711,10.744404805651698,2906.891856483812,3188.236879749451,1017.6206011294657,115.4422346277113
59.5,46.13,28.6099073849225,26.0354803283316,50.6228598047131,71.5652315135621,17.520092615077502,20.0945196716684,-4.492859804713099,-25.435231513562094,306.9536452408932,403.78972083506835,20.185789224806626,646.9510021485023
60,41.97,28.1214325136506,25.5254662784395,50.1297239499109,70.8611013234181,13.848567486349399,16.4445337215605,-8.159723949910898,-28.8911013234181,191.7828214239737,270.42268931954044,66.5810949387495,834.695735680011
60.5,14.34,27.639062214718,25.0252998039122,49.6404927074602,70.1632217173499,-13.299062214717999,-10.685299803912201,-35.300492707460194,-55.823221717349895,176.86505579094,114.17563189948613,1246.1247853894504,3116.232082904405
61,80.27,27.1628693227731,24.5347999417053,49.1552219025179,69.4716021721477,53.10713067722689,55.735200058294694,31.114778097482095,10.798397827852298,2820.3673287680535,3106.4125255381327,968.1294160555515,116.60539564856523
61.5,69.52,26.6929137169641,24.053788349772,48.6739580191876,68.7862452523028,42.8270862830359,45.466211650228,20.846041980812394,0.7337547476971906,1834.1593194946015,2067.176401823328,434.55746626579275,0.5383960297681679
62,90.37,26.2292424834653,23.5820894689614,48.1967388890097,68.1071474158678,64.1407575165347,66.7879105310386,42.1732611109903,22.262852584132204,4114.036774794903,4460.6249931020175,1778.583952735767,495.634605182802
62.5,54,25.7718915407625,23.1195304443107,47.7235947453187,67.4342995265207,28.2281084592375,30.8804695556893,6.2764052546813005,-13.434299526520704,796.8261071864757,953.6033999798536,39.39326292099104,180.4804037682744
